"value"
24
4
48
4
5
6
4
3
63
12
1
1
8
5
6
67
1
2
6
2
42
56
64
21
72
20
7
6
28
14
63
21
18
29
25
38
54
9
11
73
18
5
4
6
2
3
3
27
1
1
1
3
161
3
4
3
1
45
3
4
9
29
12
15
7
3
39
2
2
3
1
7
3
2
3
2
10
2
4
173
1
15
3
1
2
3
5
3
2
12
3
2
4
5
5
23
7
2
3
3
4
2
2
4
3
2
2
3
1
0
2
3
2
1
1
1
3
3
2
2
0
1
3
6
2
2
7
5
2
2
2
2
2
2
5
2
2
1
4
4
4
2
2
2
7
4
2
5
2
2
2
2
2
2
2
2
3
3
2
2
2
2
2
3
3
5
1
1
71
70
8
5
1
2
24
1
4
49
2
28
86
9
29
6
3
12
17
5
4
19
5
79
3
24
4
2
1
1
0
0
1
0
0
0
3
1
1
14
2
1
1
1
1
11
2
1
6
3
6
5
12
4
4
2
6
3
144
7
41
6
87
5
2
11
20
22
25
96
30
41
31
3
12
3
1
4
19
64
64
83
24
2
8
3
5
10
73
1
4
1
66
47
13
3
3
6
20
187
66
22
38
29
1
16
68
2
17
13
2
2
4
2
2
3
2
5
3
2
2
2
3
2
2
3
2
3
3
2
3
3
5
3
3
3
3
3
7
3
3
3
3
0
3
2
3
3
2
2
2
3
2
2
3
7
1
1
1
11
2
7
1
1
4
1
5
2
9
1
6
1
12
1
10
18
6
1
4
5
2
5
3
2
8
34
5
72
43
8
8
2
0
1
23
3
76
13
4
7
2
2
5
3
3
6
4
5
6
28
2
4
62
2
2
3
1
7
1
1
0
1
0
1
1
0
0
0
17
1
0
55
1
20
5
1
2
4
1
1
8
2
1
9
14
6
7
2
4
8
32
1
12
1
1
3
2
1
2
1
3
1
2
1
1
1
1
1
1
2
1
3
7
2
92
11
18
5
2
2
2
2
2
2
2
2
5
3
3
5
6
4
7
3
5
2
3
2
2
2
2
2
11
2
5
5
2
3
2
4
4
27
24
3
21
2
83
15
5
4
95
5
18
150
6
25
102
8
165
10
237
7
128
6
94
6
4
4
196
115
5
17
236
5
109
4
77
7
155
171
6
10
143
6
150
183
8
9
48
7
108
8
5
128
4
4
124
5
164
92
5
5
60
7
112
6
180
4
55
6
106
16
102
5
103
9
138
5
5
9
134
8
217
123
5
27
153
4
120
5
143
142
90
5
4
39
102
87
4
98
114
6
6
18
67
77
5
17
88
116
6
4
5
61
5
82
147
119
8
91
10
32
127
119
5
5
154
4
48
78
4
63
6
132
5
53
4
130
9
92
3
133
6
45
4
68
3
20
4
182
21
54
4
41
4
227
8
81
59
6
60
31
4
3
48
3
166
6
88
5
71
5
28
4
3
117
9
4
79
3
190
17
6
82
4
128
5
95
5
84
3
114
185
3
13
60
3
45
5
151
6
48
4
63
4
98
4
63
92
5
4
30
3
36
5
110
5
55
4
316
6
100
85
3
60
4
40
3
183
7
28
3
95
4
112
4
88
6
6
97
9
26
71
4
99
4
49
4
78
146
6
9
93
4
5
109
4
193
5
188
5
109
108
3
6
134
15
42
4
85
148
37
10
87
134
4
5
39
44
43
4
4
3
6
107
4
57
3
66
112
4
9
65
126
5
6
49
71
3
49
3
126
10
157
6
87
3
87
4
4
8
39
4
3
77
5
69
3
34
225
6
171
71
4
97
5
6
66
56
3
3
126
7
6
5
156
90
97
3
3
126
12
93
5
135
5
62
3
43
5
3
111
10
12
68
4
66
6
102
1
100
4
126
52
6
122
6
70
4
71
9
32
86
7
77
5
42
5
146
5
63
4
80
4
44
4
57
3
161
41
3
8
69
89
6
4
42
5
49
3
4
163
4
5
4
60
68
5
6
4
78
5
4
81
3
93
6
44
62
5
3
75
3
83
175
5
16
29
5
25
3
59
6
52
3
5
143
7
89
12
6
75
3
84
4
70
11
85
7
44
88
69
3
4
7
58
3
3
83
27
7
48
3
5
153
5
59
3
25
3
105
5
49
4
104
17
88
4
222
58
5
47
4
75
7
4
2
57
5
52
14
88
6
71
6
8
80
3
77
21
89
56
3
6
34
210
4
65
6
76
5
50
5
76
9
65
6
44
4
68
4
96
4
79
5
42
13
6
86
13
45
4
70
19
58
5
65
5
57
5
5
81
5
116
5
5
98
16
92
6
105
20
2
12
2
5
2
3
29
74
10
114
4
129
3
106
4
141
3
65
4
109
4
93
5
85
4
104
7
92
6
98
11
150
12
73
10
137
4
3
74
9
99
10
92
12
119
44
83
4
70
6
111
3
167
9
115
3
146
8
161
6
84
7
73
5
173
4
120
5
73
5
276
4
80
35
72
3
161
3
88
3
109
4
4
120
5
127
12
41
7
111
36
159
7
117
3
79
6
40
146
3
153
6
91
3
131
20
86
3
132
6
66
58
81
24
80
3
54
3
82
9
108
10
160
3
196
3
167
8
7
57
4
125
11
180
3
113
10
126
9
8
13
7
198
5
116
4
